Loan #,Loan Type,Balance,Rate,Term,Asset,Asset Value
1,FixedMortgage,323000,0.02875,240,PrimaryHome,323000
2,FixedMortgage,206000,0.02875,240,PrimaryHome,206000
3,FixedMortgage,200000,0.02875,240,PrimaryHome,204000
4,FixedMortgage,185000,0.02875,240,PrimaryHome,185000
5,FixedMortgage,221000,0.02875,240,PrimaryHome,221000
6,FixedMortgage,258000,0.03,240,PrimaryHome,258000
7,FixedMortgage,374000,0.03,240,PrimaryHome,374000
8,FixedMortgage,229000,0.03125,240,PrimaryHome,229000
9,FixedMortgage,284000,0.03125,240,PrimaryHome,285000
10,FixedMortgage,222000,0.0275,240,PrimaryHome,223000
11,FixedMortgage,330000,0.0275,240,PrimaryHome,330000
12,FixedMortgage,496000,0.0299,240,PrimaryHome,496000
13,FixedMortgage,197000,0.03125,240,PrimaryHome,197000
14,FixedMortgage,290000,0.03125,240,PrimaryHome,290000
15,FixedMortgage,140000,0.0299,240,PrimaryHome,140000
16,FixedMortgage,225000,0.03125,240,PrimaryHome,225000
17,FixedMortgage,394000,0.03125,240,PrimaryHome,394000
18,FixedMortgage,510000,0.02625,240,PrimaryHome,510000
19,FixedMortgage,347000,0.02875,240,PrimaryHome,347000
20,FixedMortgage,372000,0.0275,240,PrimaryHome,372000
21,FixedMortgage,537000,0.02875,240,PrimaryHome,537000
22,FixedMortgage,380000,0.02875,240,PrimaryHome,380000
23,FixedMortgage,465000,0.02875,240,PrimaryHome,465000
24,FixedMortgage,274000,0.0275,240,PrimaryHome,274000
25,FixedMortgage,263000,0.02625,240,PrimaryHome,263000
26,FixedMortgage,372000,0.03125,240,PrimaryHome,373000
27,FixedMortgage,301000,0.02875,240,PrimaryHome,301000
28,FixedMortgage,397000,0.02625,240,PrimaryHome,397000
29,FixedMortgage,218000,0.03,240,PrimaryHome,218000
30,FixedMortgage,247000,0.02875,240,PrimaryHome,247000
31,FixedMortgage,115000,0.02875,240,PrimaryHome,115000
32,FixedMortgage,215000,0.02625,240,PrimaryHome,215000
33,FixedMortgage,168000,0.02875,240,PrimaryHome,168000
34,FixedMortgage,341000,0.02625,240,PrimaryHome,341000
35,FixedMortgage,520000,0.02875,240,PrimaryHome,520000
36,FixedMortgage,202000,0.02875,240,PrimaryHome,202000
37,FixedMortgage,215000,0.02875,240,PrimaryHome,215000
38,FixedMortgage,382000,0.02859,240,PrimaryHome,382000
39,FixedMortgage,237000,0.02875,240,PrimaryHome,237000
40,FixedMortgage,372000,0.02875,240,PrimaryHome,372000
41,FixedMortgage,439000,0.02625,240,PrimaryHome,439000
42,FixedMortgage,188000,0.02875,240,PrimaryHome,188000
43,FixedMortgage,432000,0.02686,240,PrimaryHome,432000
44,FixedMortgage,279000,0.02875,240,PrimaryHome,279000
45,FixedMortgage,506000,0.0275,240,PrimaryHome,506000
46,FixedMortgage,355000,0.02799,240,PrimaryHome,355000
47,FixedMortgage,329000,0.0283,240,PrimaryHome,329000
48,FixedMortgage,477000,0.02999,240,PrimaryHome,477000
49,FixedMortgage,244000,0.02886,240,PrimaryHome,244000
50,FixedMortgage,335000,0.0299,240,PrimaryHome,336000
51,FixedMortgage,224000,0.0275,240,PrimaryHome,224000
52,FixedMortgage,168000,0.0299,240,PrimaryHome,168000
53,FixedMortgage,506000,0.03125,240,PrimaryHome,510000
54,FixedMortgage,154000,0.0275,240,PrimaryHome,154000
55,FixedMortgage,298000,0.03125,240,PrimaryHome,298000
56,FixedMortgage,263000,0.0275,204,PrimaryHome,263000
57,FixedMortgage,182000,0.03125,240,PrimaryHome,182000
58,FixedMortgage,239000,0.0299,240,PrimaryHome,240000
59,FixedMortgage,76000,0.0299,240,PrimaryHome,76000
60,FixedMortgage,175000,0.0299,240,PrimaryHome,176000
61,FixedMortgage,290000,0.0299,240,PrimaryHome,290000
62,FixedMortgage,571000,0.0275,240,PrimaryHome,571000
63,FixedMortgage,130000,0.0299,240,PrimaryHome,130000
64,FixedMortgage,146000,0.03125,240,PrimaryHome,148000
65,FixedMortgage,180000,0.0299,204,PrimaryHome,180000
66,FixedMortgage,176000,0.0299,204,PrimaryHome,176000
67,FixedMortgage,218000,0.0275,240,PrimaryHome,220000
68,FixedMortgage,302000,0.02875,240,PrimaryHome,302000
69,FixedMortgage,203000,0.03125,240,PrimaryHome,204000
70,FixedMortgage,85000,0.0299,240,PrimaryHome,85000
71,FixedMortgage,230000,0.0299,240,PrimaryHome,230000
72,FixedMortgage,361000,0.02875,240,PrimaryHome,361000
73,FixedMortgage,254000,0.0299,240,PrimaryHome,254000
74,FixedMortgage,510000,0.0275,240,PrimaryHome,516000
75,FixedMortgage,175000,0.02875,240,PrimaryHome,175000
76,FixedMortgage,100000,0.0275,204,PrimaryHome,100000
77,FixedMortgage,188000,0.0275,240,PrimaryHome,188000
78,FixedMortgage,356000,0.0275,240,PrimaryHome,356000
79,FixedMortgage,306000,0.0275,240,PrimaryHome,307000
80,FixedMortgage,170000,0.0299,240,PrimaryHome,171000
81,FixedMortgage,215000,0.03125,240,PrimaryHome,216000
82,FixedMortgage,199000,0.0299,240,PrimaryHome,200000
83,FixedMortgage,205000,0.0299,240,PrimaryHome,206000
84,FixedMortgage,124000,0.0299,240,PrimaryHome,124000
85,FixedMortgage,320000,0.02875,240,PrimaryHome,320000
86,FixedMortgage,226000,0.0299,216,PrimaryHome,226000
87,FixedMortgage,391000,0.0299,240,PrimaryHome,391000
88,FixedMortgage,162000,0.0275,240,PrimaryHome,162000
89,FixedMortgage,154000,0.0299,240,PrimaryHome,154000
90,FixedMortgage,261000,0.0299,240,PrimaryHome,261000
91,FixedMortgage,284000,0.0299,240,PrimaryHome,284000
92,FixedMortgage,248000,0.0299,240,PrimaryHome,248000
93,FixedMortgage,317000,0.0275,240,PrimaryHome,317000
94,FixedMortgage,182000,0.02625,204,PrimaryHome,182000
95,FixedMortgage,276000,0.02875,240,PrimaryHome,276000
96,FixedMortgage,291000,0.02875,240,PrimaryHome,291000
97,FixedMortgage,183000,0.0299,240,PrimaryHome,183000
98,FixedMortgage,289000,0.02875,240,PrimaryHome,289000
99,FixedMortgage,208000,0.0299,240,PrimaryHome,208000
100,FixedMortgage,335000,0.0299,240,PrimaryHome,336000
101,FixedMortgage,174000,0.0275,240,PrimaryHome,174000
102,FixedMortgage,309000,0.02875,240,PrimaryHome,309000
103,FixedMortgage,265000,0.02875,240,PrimaryHome,265000
104,FixedMortgage,182000,0.02875,240,PrimaryHome,182000
105,FixedMortgage,340000,0.02875,240,PrimaryHome,341000
106,FixedMortgage,448000,0.02875,240,PrimaryHome,448000
107,FixedMortgage,202000,0.02875,240,PrimaryHome,202000
108,FixedMortgage,450000,0.0299,240,PrimaryHome,450000
109,FixedMortgage,154000,0.0299,240,PrimaryHome,154000
110,FixedMortgage,127000,0.0299,240,PrimaryHome,127000
111,FixedMortgage,352000,0.02875,240,PrimaryHome,352000
112,FixedMortgage,211000,0.0275,240,PrimaryHome,211000
113,FixedMortgage,311000,0.02875,240,PrimaryHome,311000
114,FixedMortgage,332000,0.0275,240,PrimaryHome,332000
115,FixedMortgage,166000,0.02875,216,PrimaryHome,166000
116,FixedMortgage,232000,0.0275,240,PrimaryHome,232000
117,FixedMortgage,467000,0.02875,240,PrimaryHome,468000
118,FixedMortgage,205000,0.02875,240,PrimaryHome,205000
119,FixedMortgage,290000,0.0275,240,PrimaryHome,290000
120,FixedMortgage,432000,0.0275,240,PrimaryHome,434000
121,FixedMortgage,172000,0.0275,240,PrimaryHome,172000
122,FixedMortgage,154000,0.0275,240,PrimaryHome,154000
123,FixedMortgage,195000,0.0299,240,PrimaryHome,195000
124,FixedMortgage,369000,0.0275,240,PrimaryHome,369000
125,FixedMortgage,133000,0.0299,240,PrimaryHome,133000
126,FixedMortgage,225000,0.0299,240,PrimaryHome,226000
127,FixedMortgage,104000,0.0299,240,PrimaryHome,104000
128,FixedMortgage,239000,0.0299,240,PrimaryHome,239000
129,FixedMortgage,100000,0.0299,240,PrimaryHome,100000
130,FixedMortgage,229000,0.0299,240,PrimaryHome,229000
131,FixedMortgage,488000,0.0299,240,PrimaryHome,488000
132,FixedMortgage,405000,0.0299,240,PrimaryHome,405000
133,FixedMortgage,90000,0.03125,240,PrimaryHome,90000
