Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,1433463500.0,0,0,0,0,0,0,1433463500.0,0,
1,16363769.707403025,2986382.2916666665,2986382.2916666665,0.0,4563165.302065904,4563165.302065904,0.0,1428900334.6979342,3732977.864583333,3732977.864583333,0.0,4563165.302065904,4563165.302065904,0.0,1428900334.6979342,518078.947021218,
2,17113833.254883435,2976875.697287363,2976875.697287363,0.0,4568210.342747791,4568210.342747791,0.0,1424332124.3551862,3721094.6216092035,3721094.6216092035,0.0,4568210.342747791,4568210.342747791,0.0,1424332124.3551862,1797521.1975125074,
3,17160218.23234487,2967358.592406638,2967358.592406638,0.0,4573034.287845115,4573034.287845115,0.0,1419759090.067341,3709198.2405082975,3709198.2405082975,0.0,4573034.287845115,4573034.287845115,0.0,1419759090.067341,3135114.021252211,
4,16467968.309381543,2957831.437640294,2957831.437640294,0.0,4580935.973791245,4580935.973791245,0.0,1415178154.09355,3697289.297050367,3697289.297050367,0.0,4580935.973791245,4580935.973791245,0.0,1415178154.09355,3786089.648360599,
5,17263291.297070727,2948287.821028229,2948287.821028229,0.0,4585188.247468358,4585188.247468358,0.0,1410592965.8460815,3685359.776285286,3685359.776285286,0.0,4585188.247468358,4585188.247468358,0.0,1410592965.8460815,5245356.853181094,
6,16703255.228336398,2938735.3455126695,2938735.3455126695,0.0,4591991.318175839,4591991.318175839,0.0,1406000974.5279057,3673419.181890837,3673419.181890837,0.0,4591991.318175839,4591991.318175839,0.0,1406000974.5279057,6152474.917762306,
7,16112457.59146722,2929168.696933137,2929168.696933137,0.0,4601500.681307826,4601500.681307826,0.0,1401399473.846598,3661460.871166421,3661460.871166421,0.0,4601500.681307826,4601500.681307826,0.0,1401399473.846598,6471301.578514317,
8,16226432.717456048,2919582.2371804123,2919582.2371804123,0.0,4610509.602954586,4610509.602954586,0.0,1396788964.2436433,3649477.7964755152,3649477.7964755152,0.0,4610509.602954586,4610509.602954586,0.0,1396788964.2436433,6907655.056405268,
9,17200485.6988255,2909977.0088409237,2909977.0088409237,0.0,4615042.88179801,4615042.88179801,0.0,1392173921.3618453,3637471.261051154,3637471.261051154,0.0,4615042.88179801,4615042.88179801,0.0,1392173921.3618453,8330606.721742671,
10,16975553.398424566,2900362.336170511,2900362.336170511,0.0,4620535.808592507,4620535.808592507,0.0,1387553385.553253,3625452.9202131387,3625452.9202131387,0.0,4620535.808592507,4620535.808592507,0.0,1387553385.553253,9539273.246598579,
11,17340551.993353985,2890736.2199026104,2890736.2199026104,0.0,4624327.160382734,4624327.160382734,0.0,1382929058.3928702,3613420.2748782625,3613420.2748782625,0.0,4624327.160382734,4624327.160382734,0.0,1382929058.3928702,11127014.424406223,
12,17800562.996327363,2881102.2049851464,2881102.2049851464,0.0,4626016.948105358,4626016.948105358,0.0,1378303041.4447646,3601377.756231433,3601377.756231433,0.0,4626016.948105358,4626016.948105358,0.0,1378303041.4447646,13193063.563306294,
13,16419349.462477729,2871464.669676593,2871464.669676593,0.0,4633946.505347583,4633946.505347583,0.0,1373669094.9394171,3589330.837095741,3589330.837095741,0.0,4633946.505347583,4633946.505347583,0.0,1373669094.9394171,13883724.50831652,
14,18287218.07728795,2861810.614457119,2861810.614457119,0.0,4633220.93107451,4633220.93107451,0.0,1369035874.0083427,3577263.2680713986,3577263.2680713986,0.0,4633220.93107451,4633220.93107451,0.0,1369035874.0083427,16465426.84092693,
15,17781433.78816077,2852158.070850714,2852158.070850714,0.0,4634847.63611443,4634847.63611443,0.0,1364401026.3722281,3565197.5885633924,3565197.5885633924,0.0,4634847.63611443,4634847.63611443,0.0,1364401026.3722281,18559809.697444733,
16,16795220.03721938,2842502.1382754752,2842502.1382754752,0.0,4641850.950851169,4641850.950851169,0.0,1359759175.421377,3553127.672844344,3553127.672844344,0.0,4641850.950851169,4641850.950851169,0.0,1359759175.421377,19675698.02184196,
