Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,37805.83242366666,37805.83242366666,0.0,309835.79726602824,309835.79726602824,0.0,22373663.656933967,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,345561.8166291495,
2,702654.904424761,37289.43942822328,37289.43942822328,0.0,314102.56482803746,314102.56482803746,0.0,22059561.09210593,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,687373.258691733,
3,714545.1604449317,36765.93515350988,36765.93515350988,0.0,317859.36493598664,317859.36493598664,0.0,21741701.727169942,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,1037841.6609412516,
4,711405.8863099718,36236.16954528324,36236.16954528324,0.0,321797.6639062513,321797.6639062513,0.0,21419904.063263692,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,1381762.255693772,
5,710403.087299374,35699.840105439485,35699.840105439485,0.0,325759.9970645205,325759.9970645205,0.0,21094144.066199172,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,1721254.0477172695,
6,701151.5147516263,35156.90677699862,35156.90677699862,0.0,330269.9537885204,330269.9537885204,0.0,20763874.11241065,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,2047527.24379746,
7,701151.5147516263,34606.45685401775,34606.45685401775,0.0,334842.8706372272,334842.8706372272,0.0,20429031.241773423,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,2369777.9729519244,
8,701151.5147516263,34048.385402955704,34048.385402955704,0.0,339479.63757605414,339479.63757605414,0.0,20089551.604197368,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,2687950.006618624,
9,721613.632079387,33482.58600699562,33482.58600699562,0.0,343177.9544431487,343177.9544431487,0.0,19746373.649754222,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,3023451.64014195,
10,710353.1348175529,32910.62274959037,32910.62274959037,0.0,347349.42268050916,347349.42268050916,0.0,19399024.22707371,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,3344093.2714234865,
11,708649.7034816967,32331.707045122854,32331.707045122854,0.0,351777.6638737845,351777.6638737845,0.0,19047246.563199926,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,3659182.145880359,
12,699147.047968126,31745.410938666544,31745.410938666544,0.0,356678.98822231265,356678.98822231265,0.0,18690567.574977614,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,3960453.336581589,
13,707981.0671499773,31150.945958296026,31150.945958296026,0.0,361215.74271396705,361215.74271396705,0.0,18329351.83226365,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,4266616.256953387,
14,712024.7550405037,30548.919720439415,30548.919720439415,0.0,365566.59754124633,365566.59754124633,0.0,17963785.234722402,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,4573074.036626288,
15,707773.6901983011,29939.64205787067,29939.64205787067,0.0,370191.1908795222,370191.1908795222,0.0,17593594.04384288,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,4871265.43578128,
16,717140.3938904025,29322.656739738133,29322.656739738133,0.0,374236.5228210767,374236.5228210767,0.0,17219357.521021802,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,5175395.192004951,
17,718732.3645705018,28698.929201703006,28698.929201703006,0.0,378265.5811570379,378265.5811570379,0.0,16841091.939864762,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,5477711.588110795,
18,695180.0073917885,28068.486566441272,28068.486566441272,0.0,383592.6912131835,383592.6912131835,0.0,16457499.24865158,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,5751778.959617042,
19,717502.8629334448,27429.1654144193,27429.1654144193,0.0,387737.79356628726,387737.79356628726,0.0,16069761.455085292,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,6044663.405463863,
20,711343.9975056391,26782.93575847549,26782.93575847549,0.0,392196.5877650101,392196.5877650101,0.0,15677564.867320284,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,6327576.4213401,
21,692905.0628423397,26129.27477886714,26129.27477886714,0.0,397750.44494563586,397750.44494563586,0.0,15279814.422374647,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,6587150.306352019,
22,712566.5105988727,25466.357370624413,25466.357370624413,0.0,402316.8453559717,402316.8453559717,0.0,14877497.577018674,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,6862482.156118379,
23,718760.146591253,24795.829295031126,24795.829295031126,0.0,406566.16757591587,406566.16757591587,0.0,14470931.40944276,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,7140428.847732767,
24,702796.1206760876,24118.219015737934,24118.219015737934,0.0,411600.11784040823,411600.11784040823,0.0,14059331.29160235,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,7398055.173446791,
25,713168.8435046736,23432.218819337253,23432.218819337253,0.0,416187.74200327584,416187.74200327584,0.0,13643143.549599076,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,7662152.598022935,
26,688338.497063587,22738.57258266513,22738.57258266513,0.0,422141.4434807157,422141.4434807157,0.0,13221002.10611836,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,7896159.620917224,
27,697842.655851671,22035.003510197268,22035.003510197268,0.0,427648.9245849784,427648.9245849784,0.0,12793353.181533381,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,8134866.890567803,
28,694140.7833728651,21322.255302555637,21322.255302555637,0.0,433400.38132675324,433400.38132675324,0.0,12359952.800206628,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,8364833.579205442,
29,692436.0461005844,20599.921333677714,20599.921333677714,0.0,439316.855496836,439316.855496836,0.0,11920635.94470979,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,8587901.390369596,
30,699760.6514426045,19867.72657451632,19867.72657451632,0.0,444893.6058647904,444893.6058647904,0.0,11475742.338845,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,8813449.251266977,
31,695155.0828630379,19126.237231408333,19126.237231408333,0.0,450755.9737159369,450755.9737159369,0.0,11024986.365129063,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,9029270.665076753,
32,692386.1257968601,18374.977275215108,18374.977275215108,0.0,456840.57998598076,456840.57998598076,0.0,10568145.785143083,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,9236989.775506502,
33,693465.7906581677,17613.576308571806,17613.576308571806,0.0,463028.10129764717,463028.10129764717,0.0,10105117.683845436,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,9440362.430452535,
34,713850.4035468674,16841.862806409063,16841.862806409063,0.0,468139.1571618746,468139.1571618746,0.0,9636978.526683562,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,9659780.355925202,
35,703756.9939620533,16061.630877805937,16061.630877805937,0.0,473601.7518847826,473601.7518847826,0.0,9163376.774798779,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,9864422.50901875,
36,693049.5893492377,15272.294624664632,15272.294624664632,0.0,479893.3490477875,479893.3490477875,0.0,8683483.425750991,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,10052854.996589622,
37,703480.7633121528,14472.472376251653,14472.472376251653,0.0,485514.41334200767,485514.41334200767,0.0,8197969.012408983,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,10246897.416077599,
38,689002.5169877422,13663.281687348306,13663.281687348306,0.0,492108.2086225047,492108.2086225047,0.0,7705860.803786479,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,10420676.984649573,
39,680004.7379826767,12843.101339644132,12843.101339644132,0.0,499243.4331619369,499243.4331619369,0.0,7206617.370624542,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,10579143.730024753,
40,686586.8994259393,12011.028951040904,12011.028951040904,0.0,506051.54183856904,506051.54183856904,0.0,6700565.828785973,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,10738216.600555165,
41,686560.3846621609,11167.60971464329,11167.60971464329,0.0,512984.50137558096,512984.50137558096,0.0,6187581.327410392,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,10891173.416021185,
42,679173.4050291764,10312.635545683988,10312.635545683988,0.0,520424.5460850395,520424.5460850395,0.0,5667156.781325351,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11030158.181313721,
43,695475.6189761721,9445.261302208919,9445.261302208919,0.0,527026.6360353058,527026.6360353058,0.0,5140130.145290047,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11179710.444846462,
44,695483.6329679277,8566.883575483413,8566.883575483413,0.0,533647.5139018035,533647.5139018035,0.0,4606482.631388243,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11323528.222231187,
45,677201.2696221833,7677.471052313739,7677.471052313739,0.0,541405.5660455669,541405.5660455669,0.0,4065077.065342676,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11442194.996649573,
46,694150.6323945902,6775.128442237794,6775.128442237794,0.0,548192.246812259,548192.246812259,0.0,3516884.818530418,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11571926.795683749,
47,676120.8661920432,5861.474697550697,5861.474697550697,0.0,556169.914266234,556169.914266234,0.0,2960714.9042641856,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11676564.81480609,
48,683699.1115344239,4934.524840440309,4934.524840440309,0.0,563794.7811155543,563794.7811155543,0.0,2396920.1231486313,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11782083.162278604,
49,690915.5560435194,3994.8668719143857,3994.8668719143857,0.0,571157.6976851663,571157.6976851663,0.0,1825762.425463464,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11888394.695659127,
50,688284.4165268224,3042.93737577244,3042.93737577244,0.0,578672.5186638619,578672.5186638619,0.0,1247089.9067996033,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,11985512.198040398,
51,647055.9925752293,2078.4831779993387,2078.4831779993387,0.0,538554.924076403,538554.924076403,0.0,708534.9827231988,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,12082483.32525531,
52,610296.0223233582,1180.8916378719982,1180.8916378719982,0.0,531261.998746577,531261.998746577,0.0,177272.98397662118,9451.458105916665,9451.458105916665,0.0,0,0,0,5670874.863549999,12150884.999088302,
53,596480.1286184684,295.45497329436864,295.45497329436864,0.0,177272.98397662118,177272.98397662118,0.0,0.0,9451.458105916665,9451.458105916665,0.0,516085.0079367738,516085.0079367738,0.0,5154789.855613225,12044260.222714165,
54,570768.6119408064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8591.316426022042,8591.316426022042,0.0,498192.4586810729,498192.4586810729,0.0,4656597.396932152,12108245.059547877,
55,543563.7692551016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7760.9956615535875,7760.9956615535875,0.0,471484.8931540771,471484.8931540771,0.0,4185112.503778075,12172562.939987348,
56,516602.2378623048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6975.187506296792,6975.187506296792,0.0,446436.2164844219,446436.2164844219,0.0,3738676.287293653,12235753.773858935,
57,473282.9070052501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6231.127145489422,6231.127145489422,0.0,421190.08024392754,421190.08024392754,0.0,3317486.2070497256,12281615.473474767,
58,419312.56175627495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5529.14367841621,5529.14367841621,0.0,382502.65282701596,382502.65282701596,0.0,2934983.5542227095,12312896.238725612,
59,397801.0281282536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4891.639257037849,4891.639257037849,0.0,345975.34169783985,345975.34169783985,0.0,2589008.2125248695,12359830.285898987,
60,354891.019760156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4315.013687541449,4315.013687541449,0.0,315430.3052253583,315430.3052253583,0.0,2273577.907299511,12394975.986746244,
61,322323.2698787616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3789.296512165852,3789.296512165852,0.0,272926.4045999869,272926.4045999869,0.0,2000651.5026995242,12440583.555512853,
62,285585.2200546309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3334.4191711658736,3334.4191711658736,0.0,230599.00507681348,230599.00507681348,0.0,1770052.4976227107,12492235.351319505,
63,234355.79252389548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2950.0874960378515,2950.0874960378515,0.0,193987.53229197118,193987.53229197118,0.0,1576064.9653307395,12529653.524055392,
64,181429.84296715175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2626.7749422178995,2626.7749422178995,0.0,170344.16155711174,170344.16155711174,0.0,1405720.8037736276,12538112.430523215,
65,144640.99047544983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2342.8680062893795,2342.8680062893795,0.0,136089.5103115239,136089.5103115239,0.0,1269631.2934621042,12544321.042680852,
66,167081.1318725714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2116.0521557701736,2116.0521557701736,0.0,115929.33950744674,115929.33950744674,0.0,1153701.9539546575,12593356.782890206,
67,126238.09538584352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922.8365899244293,1922.8365899244293,0.0,94774.43437813008,94774.43437813008,0.0,1058927.5195765272,12622897.607307995,
68,107068.10787634703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764.8791992942122,1764.8791992942122,0.0,76666.48308029798,76666.48308029798,0.0,982261.0364962295,12651534.35290475,
69,84572.58567201588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.101727493716,1637.101727493716,0.0,56362.301406711806,56362.301406711806,0.0,925898.7350895172,12678107.53544256,
70,112790.43303227564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.1645584825287,1543.1645584825287,0.0,47261.899416230415,47261.899416230415,0.0,878636.8356732866,12742092.904500123,
71,46665.85912192874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.3947261221444,1464.3947261221444,0.0,31040.89100724864,31040.89100724864,0.0,847595.9446660383,12756253.477888681,
72,38055.12680994035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1412.6599077767305,1412.6599077767305,0.0,0.0,0.0,0.0,847595.9446660383,12792895.944790844,
