Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,1433463500.0,0,0,0,0,0,0,1433463500.0,0,
1,16307402.607403025,2986382.2916666665,2986382.2916666665,0.0,9126884.430729171,9126884.430729171,0.0,1424336615.5692708,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,461158.02042385377,
2,17056854.261880796,2967367.9491026476,2967367.9491026476,0.0,9137539.85452083,9137539.85452083,0.0,1415199075.71475,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,1680126.614097843,
3,17434458.88061581,2948331.407739063,2948331.407739063,0.0,9144686.182464069,9144686.182464069,0.0,1406054389.532286,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,3288590.039927194,
4,16400739.781457769,2929279.9781922624,2929279.9781922624,0.0,9161128.731869314,9161128.731869314,0.0,1396893260.8004167,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,3865943.2467400543,
5,16623016.650088662,2910194.2933342014,2910194.2933342014,0.0,9175598.812840257,9175598.812840257,0.0,1387717661.9875765,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,4670188.926070929,
6,15880381.807974989,2891078.4624741175,2891078.4624741175,0.0,9196779.002183221,9196779.002183221,0.0,1378520882.985393,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,4729735.404805243,
7,16539956.629932577,2871918.5062195687,2871918.5062195687,0.0,9211963.810472809,9211963.810472809,0.0,1369308919.1749203,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,5452831.8534621075,
8,17415473.648277342,2852726.9149477505,2852726.9149477505,0.0,9219041.14717918,9219041.14717918,0.0,1360089878.0277412,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,7063559.575029185,
9,15859756.626465222,2833520.5792244608,2833520.5792244608,0.0,9240373.422647607,9240373.422647607,0.0,1350849504.6050935,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,7116444.335039008,
10,16965559.74558657,2814269.8012606115,2814269.8012606115,0.0,9251617.198717251,9251617.198717251,0.0,1341597887.4063764,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,8283139.216064382,
11,17560946.32064378,2794995.5987632843,2794995.5987632843,0.0,9257347.212153176,9257347.212153176,0.0,1332340540.1942232,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,10058764.86120837,
12,18340721.484074093,2775709.4587379647,2775709.4587379647,0.0,9255873.222440958,9255873.222440958,0.0,1323084666.9717822,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,12634925.79952021,
13,16887056.71778748,2756426.3895245465,2756426.3895245465,0.0,9267553.884232972,9267553.884232972,0.0,1313817113.0875492,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,13765024.378966842,
14,16752068.246779025,2737118.985599061,2737118.985599061,0.0,9280370.058106935,9280370.058106935,0.0,1304536743.0294423,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,14766625.71745654,
15,17790009.041668035,2717784.881311338,2717784.881311338,0.0,9283562.788984321,9283562.788984321,0.0,1295253180.240458,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,16822309.224245586,
16,17987831.205470134,2698444.125500954,2698444.125500954,0.0,9284904.670264497,9284904.670264497,0.0,1285968275.5701933,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,19093813.76936694,
17,17058908.72953699,2679100.5741045694,2679100.5741045694,0.0,9294684.649980467,9294684.649980467,0.0,1276673590.920213,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,20445959.41023556,
18,18528012.11936046,2659736.647750444,2659736.647750444,0.0,9290869.823841788,9290869.823841788,0.0,1267382721.0963712,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,23290387.19342046,
19,18455554.667129718,2640380.6689507733,2640380.6689507733,0.0,9287490.989247058,9287490.989247058,0.0,1258095230.107124,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,26085092.337769013,
20,17591828.20250042,2621031.7293898417,2621031.7293898417,0.0,9293221.118019257,9293221.118019257,0.0,1248802008.9891047,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,28029689.828277003,
21,17935967.77223658,2601670.8520606346,2601670.8520606346,0.0,9294075.06792495,9294075.06792495,0.0,1239507933.92118,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,30336933.81594466,
22,16943161.793854464,2582308.195669125,2582308.195669125,0.0,9304116.573385194,9304116.573385194,0.0,1230203817.3477948,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,31660692.976161472,
23,17733668.10972321,2562924.6194745726,2562924.6194745726,0.0,9306869.192583915,9306869.192583915,0.0,1220896948.1552107,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,33791589.40924285,
24,17373408.339013275,2543535.308656689,2543535.308656689,0.0,9312728.475768602,9312728.475768602,0.0,1211584219.6794422,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,35575756.0992475,
25,16264452.015008323,2524133.790998838,2524133.790998838,0.0,9328772.313482095,9328772.313482095,0.0,1202255447.3659601,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,36254324.14519155,
26,16917934.01748076,2504698.8486790834,2504698.8486790834,0.0,9338714.89792955,9338714.89792955,0.0,1192916732.4680305,3732977.864583333,3732977.864583333,0.0,0,0,0,1433463500.0,37595866.551480345,
