Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,2293541600.0,0,0,0,0,0,0,573385400.0,0,
1,17207477.257403024,10512065.666666666,10512065.666666666,0.0,2813114.6115696905,2813114.6115696905,0.0,2290728485.38843,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
2,16634512.115313664,10499172.224696971,10499172.224696971,0.0,2253042.9114500256,2253042.9114500256,0.0,2288475442.47698,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
3,16236866.736765347,10488845.778019493,10488845.778019493,0.0,1865723.979579187,1865723.979579187,0.0,2286609718.497401,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
4,17108025.2078072,10480294.543113088,10480294.543113088,0.0,2745433.685527443,2745433.685527443,0.0,2283864284.8118734,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
5,16701300.47352699,10467711.305387754,10467711.305387754,0.0,2351292.188972569,2351292.188972569,0.0,2281512992.622901,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
6,16316558.501961743,10456934.549521629,10456934.549521629,0.0,1977326.9732734477,1977326.9732734477,0.0,2279535665.6496277,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
7,17032207.93300059,10447871.800894126,10447871.800894126,0.0,2702039.1529397974,2702039.1529397974,0.0,2276833626.496688,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
8,16606418.876416393,10435487.454776486,10435487.454776486,0.0,2288634.4424732393,2288634.4424732393,0.0,2274544992.0542145,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
9,16048070.684767261,10424997.880248483,10424997.880248483,0.0,1740775.825352111,1740775.825352111,0.0,2272804216.2288623,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
10,17085820.709939178,10417019.324382285,10417019.324382285,0.0,2786504.4063902264,2786504.4063902264,0.0,2270017711.822472,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
11,17648959.900732726,10404247.845852997,10404247.845852997,0.0,3362415.0757130617,3362415.0757130617,0.0,2266655296.7467594,3882296.979166667,3882296.979166667,0.0,0,0,0,573385400.0,0,
