Period, Collections,	A Interest Due,	A Interest Paid, A Interest Shortfall, A Principal Due,A Principal Paid, A Principal Shortfall, A Balance, B Interest Due, B Interest Paid, B Interest Shortfall, B Principal Due, B Principal Paid, B Principal Shortfall, B Balance, Reserve
0,0,0,0,0,0,0,0,22683499.454199996,0,0,0,0,0,0,5670874.863549999,0,
1,702654.904424761,125948.72321278576,125948.72321278576,0.0,309835.79726602824,309835.79726602824,0.0,22373663.656933967,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,234649.42737338122,
2,702654.904424761,124228.37917371614,124228.37917371614,0.0,314102.56482803746,314102.56482803746,0.0,22059561.09210593,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,466752.4312238228,
3,728024.1089948232,122484.34417251055,122484.34417251055,0.0,317283.65122597193,317283.65122597193,0.0,21742277.44087996,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,722787.5882475977,
4,701509.6992811315,120722.64638646622,120722.64638646622,0.0,321670.3075785972,321670.3075785972,0.0,21420607.133301362,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,949683.3769910999,
5,722607.2440757605,118936.5919632151,118936.5919632151,0.0,324963.9675338763,324963.9675338763,0.0,21095643.165767483,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,1196169.1049972032,
6,700355.4852209821,117132.24969743322,117132.24969743322,0.0,329473.92425787624,329473.92425787624,0.0,20766169.24150961,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,1417697.45969031,
7,716923.2661346357,115302.86617678328,115302.86617678328,0.0,333204.53786731197,333204.53786731197,0.0,20432964.703642298,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,1653892.3652082845,
8,699513.1819817111,113452.76865555078,113452.76865555078,0.0,337841.3048061389,337841.3048061389,0.0,20095123.39883616,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,1869890.5171557404,
9,719506.7943149235,111576.92577360092,111576.92577360092,0.0,341596.6037483907,341596.6037483907,0.0,19753526.795087766,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,2104002.8253761064,
10,708839.1120955712,109680.23182728974,109680.23182728974,0.0,345852.9667931779,345852.9667931779,0.0,19407673.82829459,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,2325087.782278644,
11,709823.2577744379,107759.90468927889,107759.90468927889,0.0,350028.2899075685,350028.2899075685,0.0,19057645.53838702,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,2544901.8888836685,
12,697397.67400191,105816.39432875335,105816.39432875335,0.0,354929.61425609665,354929.61425609665,0.0,18702715.924130924,32220.95657256575,32220.95657256575,0.0,0,0,0,5670874.863549999,2749332.597728163,
