2021-04-16 20:01:12 INFO MainProcess  Successfully imported 9945 lines from MA4176_31418DUA8_COLLAT_ISSUANCE.csv. (import_export.py:294)
2021-04-16 20:01:12 DEBUG Process-1    Doing work on ['StandardTranche(1433463500.0, 0.025, 1)', 'StandardTranche(1433463500.0, 0.03125, 2)'] (waterfall.py:178)
2021-04-16 20:01:12 DEBUG Process-2    Doing work on ['StandardTranche(1433463500.0, 0.025, 1)', 'StandardTranche(1433463500.0, 0.03125, 2)'] (waterfall.py:178)
2021-04-16 20:02:03 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:03 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:03 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:03 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:03 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:03 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:03 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:03 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:04 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:04 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:04 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:04 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:04 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:04 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:04 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:04 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:04 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:04 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:04 WARNING Process-2    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:04 WARNING Process-2    Zero balance. All paid. (structured_securities.py:211)
2021-04-16 20:02:05 WARNING Process-1    Zero Balance. All Paid. (structured_securities.py:178)
2021-04-16 20:02:05 WARNING Process-1    Zero balance. All paid. (structured_securities.py:211)
